"path","total_conversions","total_null"
"competitors1>competitors2",0,1
"competitors1>competitors2>display2",1,0
"competitors1>display1>competitors1>display1>Email2>display2>Email2>display2>Email2>Email3",0,3
"competitors1>display1>display2",0,1
"competitors1>display1>display2>Email2",2,0
"competitors1>display1>display2>Email2>display2>Email2>Email3",0,1
"competitors1>display1>display2>Email2>display2>Mailer2>display2>Email2>Email3",0,1
"competitors1>display1>Email1>display1>competitors1>display1>Email1>display1>Email1>display1>Email1>display1>generics2>Email2>Email3",0,2
"competitors1>display1>Email1>display1>display2>Email2>Email3",0,1
"competitors1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>Email2>display2>Email2>Email3",0,1
"competitors1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>Mailer2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",1,0
"competitors1>display1>Email1>display1>Email1>display1>Email1>Email2>Email3",0,2
"competitors1>display1>Email1>display1>Email1>Email2",0,1
"competitors1>display1>Email1>display1>Email1>Email2>Email3",1,2
"competitors1>display1>Email1>display2>Email2>Email3>display3>Email3",0,1
"competitors1>display1>Email1>Email2",0,8
"competitors1>display1>Email1>Email2>display2>Email2>Email3",1,2
"competitors1>display1>Email1>Email2>display2>Email2>Mailer2>Email2",0,1
"competitors1>display1>Email1>Email2>display3",0,1
"competitors1>display1>Email1>Email2>Email3",0,18
"competitors1>display1>Email1>Email2>Mailer2>Email2>Mailer2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3",0,2
"competitors1>display1>Email2",0,6
"competitors1>display1>Email2>display2>Email2",2,2
"competitors1>display1>Email2>display2>Email2>competitors2",2,1
"competitors1>display1>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3",1,2
"competitors1>display1>Email2>Email3",0,5
"competitors1>display1>generics1>display1>Mailer2",1,1
"competitors1>display1>generics1>display1>Mailer2>display2>display3",0,1
"competitors1>display1>generics1>Email1>Email2>Email3",1,0
"competitors1>display1>generics2>display2",0,1
"competitors1>display1>Mailer1>display1>Mailer1>display1>Email1>display1>Email1>display1>Mailer2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>display2>Email2",0,2
"competitors1>display1>Mailer2",0,1
"competitors1>display1>Mailer2>display2>generics2>display2>generics2>Mailer2>display2>Mailer3>display3",1,0
