"Date","Example1","Example2","Example3"
"2019-01-21",98101.1861403755,51280.4485134834,88658.3439913741
"2019-01-28",104512.237405873,53046.3614168629,88515.3852264092
"2019-02-04",106869.557226073,54028.8001683458,91827.3934259726
"2019-02-11",106624.100202326,49627.2483790834,89411.1827214102
"2019-02-18",102422.010985935,48519.6701623274,83096.9060316871
"2019-02-25",95983.9785871142,48546.1807661345,85442.9024641306
"2019-03-04",96971.5495960336,49075.632591796,87667.1216742001
"2019-03-11",96925.5249613131,48748.3709448936,86596.6055972284
"2019-03-18",97267.9009293439,49675.251030967,86393.4590466619
"2019-03-25",96254.581403393,48140.9216322151,83475.2629288483
"2019-04-01",99958.6965277348,55135.6082537139,96039.0882260769
"2019-04-08",98452.4335628752,56670.2575985168,85844.007182837
"2019-04-15",121249.477618206,58296.9307702386,98113.1182049603
"2019-04-22",82464.4689255489,41758.9194050972,71156.2718745193
"2019-04-29",91443.3934293553,44024.2254876529,83062.7068511147
"2019-05-06",100066.175466889,49408.6307783275,85393.5654405854
"2019-05-13",99544.8452836088,50086.6386424462,88907.4982041857
"2019-05-20",97604.7459259395,46945.4268091026,87521.2823574332
"2019-05-27",90727.1008593356,40750.6462532769,87782.4890513697
"2019-06-03",129212.247616276,72755.0687503222,101619.503579997
"2019-06-10",111804.474192289,69039.7288995077,95466.8053813697
"2019-06-17",110728.042675609,67109.9844642098,93093.5236766653
"2019-06-24",108119.953430259,54263.4104738061,86826.052753908
"2019-07-01",103844.398037508,48420.279642211,86174.3270244191
"2019-07-08",103346.77741403,50681.6272987979,86036.7777470147
"2019-07-15",98341.4677263499,51101.935534959,87882.4698733338
"2019-07-22",98767.9896479816,47401.6457560945,86973.4102909957
"2019-07-29",98216.1412375027,49135.2573123241,78903.5969709518
"2019-08-05",93341.4720707707,48125.3012320711,84263.9358502766
"2019-08-12",93338.0621572648,42151.1725907435,77207.5088481422
"2019-08-19",98645.3398458652,48125.5177285013,79660.8119536077
"2019-08-26",90616.2073179735,51800.5174463929,78684.6667688138
"2019-09-02",97101.8600118703,54332.2259779953,89525.5342488461
"2019-09-09",101232.819707763,48182.9137890364,85203.3386000741
