"Date","Promo1","WorkDays1","Promo2","WorkDays2","Promo3","WorkDays3","Holiday","NewProducts","YellowZone","OrangeZone","RedZone"
"2019-01-21",0.0951856742181228,7,0.111405352911209,7,0.0903305479264761,7,0,0,0,0,0
"2019-01-28",0.0782755623543121,7,0.105571322261555,7,0.0796664335521786,7,0,0,0,0,0
"2019-02-04",0.090306692781216,7,0.118931242851507,7,0.0917726370516101,7,1,0,0,0,0
"2019-02-11",0.0886788200411593,7,0.10230131787885,7,0.0825291875462153,7,0,0,0,0,0
"2019-02-18",0.0930108732753056,7,0.124900576977434,7,0.0925936167536766,7,0,0,0,0,0
"2019-02-25",0.0909606216428788,7,0.11928472008676,7,0.0916008369850065,7,0,0,0,0,0
"2019-03-04",0.0780406780186536,7,0.0960087660030956,7,0.0787501614814186,7,0,1,0,0,0
"2019-03-11",0.0757637074549618,7,0.0923046251999796,7,0.079738257500192,7,0,1,0,0,0
"2019-03-18",0.0834442263156887,7,0.105312592068616,7,0.0924573248698853,7,0,1,0,0,0
"2019-03-25",0.0678229331409652,7,0.0943264955589361,7,0.0769860533491455,7,0,1,0,0,0
"2019-04-01",0.103368773740972,7,0.141727182707642,7,0.107693525633454,7,0,0,0,0,0
"2019-04-08",0.0895949154354511,7,0.10991283549692,7,0.0909881514060592,7,1,0,0,0,0
"2019-04-15",0.0779329644681005,7,0.0948000746151129,6,0.0770018258659359,7,1,0,0,0,0
"2019-04-22",0.0782089096843108,6,0.0968073527682955,6,0.0818271956302225,6,1,0,0,0,0
"2019-04-29",0.07279807190916,6,0.0987447509785428,6,0.0802018047932493,6,0,0,0,0,0
"2019-05-06",0.0898329579403059,7,0.103439294270065,7,0.0912126669801242,7,0,0,0,0,0
"2019-05-13",0.0856876371739077,7,0.112834795928832,7,0.0830152966677955,7,0,0,0,0,0
"2019-05-20",0.0755973953409696,7,0.0957835275086895,7,0.0885589961733671,7,1,0,0,0,0
"2019-05-27",0.0730860884352255,7,0.0970378927194624,6,0.0804429138221041,7,0,0,0,0,0
"2019-06-03",0.163105012389909,7,0.19279695255153,7,0.156269540052385,7,0,0,0,0,0
"2019-06-10",0.148151006509139,7,0.170560747724112,7,0.135994769517344,7,0,0,0,0,0
"2019-06-17",0.134032606106171,7,0.183734301319898,7,0.131094385153583,7,0,0,0,0,0
"2019-06-24",0.0779657604952518,7,0.109707563699968,7,0.0783936429951781,7,0,0,0,0,0
"2019-07-01",0.0668357777185716,7,0.0894545179057173,7,0.0731109321634095,7,0,0,0,0,0
"2019-07-08",0.0923603695486095,7,0.118319963416186,7,0.0904966382167934,7,0,0,0,0,0
"2019-07-15",0.0867302978057133,7,0.118170150999353,7,0.0877022988261381,7,0,0,0,0,0
"2019-07-22",0.084633737244077,7,0.100698686259023,7,0.0822141495189067,7,0,0,0,0,0
"2019-07-29",0.0822198753749728,7,0.10108122943198,7,0.0846514936067451,7,0,0,0,0,0
"2019-08-05",0.0888620084821504,7,0.107600898351645,7,0.0884386150350736,7,1,0,0,0,0
"2019-08-12",0.0795251092748436,7,0.106366163414771,6,0.0786528577009764,7,0,0,0,0,0
"2019-08-19",0.0782141110225354,7,0.0957069462119881,7,0.0784244975150876,7,0,0,0,0,0
"2019-08-26",0.0761023526765029,7,0.0922422986172201,7,0.0758210869168432,7,0,0,0,0,0
"2019-09-02",0.0825358913444945,7,0.109038226644778,7,0.0869753751682698,7,0,0,0,0,0
"2019-09-09",0.0877176952061932,7,0.109884260371198,7,0.0955959671009201,7,0,0,0,0,0
"2019-09-16",0.0977176745709576,7,0.120568737296353,7,0.0951588828883682,7,0,0,0,0,0
"2019-09-23",0.0896331958977557,7,0.102444941266103,7,0.0864361344477688,7,0,0,0,0,0
"2019-09-30",0.0717864290077206,7,0.0952795892471267,7,0.0785596235093647,7,0,0,0,0,0
"2019-10-07",0.123288718316477,7,0.13665579085269,7,0.106256550791466,7,0,0,0,0,0
"2019-10-14",0.0927377513581133,7,0.111728352686937,7,0.0933760801848916,7,0,0,0,0,0
"2019-10-21",0.0798224194997446,7,0.0972669548667698,7,0.0832126170265183,7,1,0,0,0,0
"2019-10-28",0.129529848550142,7,0.159650526869148,7,0.117229713961366,7,0,0,0,0,0
"2019-11-04",0.146848276506257,7,0.18833226480272,7,0.13917073787109,7,0,0,0,0,0
"2019-11-11",0.145746372568277,7,0.18506348170878,7,0.143324998058152,7,0,0,0,0,0
"2019-11-18",0.104149501058169,7,0.131523346896762,7,0.102582202547403,7,1,0,0,0,0
"2019-11-25",0.0816249226612386,7,0.106863249614126,7,0.0799890286483328,7,1,0,0,0,0
